company_top5,title,location,avg_experience,avg_base_salary
OTHERS,"SOFTWARE ENGINEERING MANAGER","Burlington, MA",12,196000
OTHERS,SALES,"San Jose, CA",13,196000
APPLE,"SOFTWARE ENGINEER","Zurich, ZH, Switzerland",9.5,195500
OTHERS,MARKETING,"Palo Alto, CA",12.333333333333334,195333.33333333334
OTHERS,RECRUITER,"Los Gatos, CA",6,195333.33333333334
MICROSOFT,"SOFTWARE ENGINEERING MANAGER","Houston, TX",14,195000
MICROSOFT,"SOFTWARE ENGINEERING MANAGER","Raleigh, NC",12,195000
OTHERS,"TECHNICAL PROGRAM MANAGER","Malvern, PA",22,195000
AMAZON,SALES,"Singapore, SG, Singapore",10,195000
APPLE,"SOFTWARE ENGINEER","Portland, OR",11,195000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Ashburn, VA",20,195000
OTHERS,"SOLUTION ARCHITECT","Vienna, VA",20,195000
OTHERS,"SOLUTION ARCHITECT","Cambridge, MA",17,195000
OTHERS,"SOLUTION ARCHITECT","San Ramon, CA",21,195000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Cary, NC",15,195000
GOOGLE,"SOFTWARE ENGINEERING MANAGER","Cambridge, MA",14.333333333333334,195000
GOOGLE,"DATA SCIENTIST","Zurich, ZH, Switzerland",11,195000
GOOGLE,"HUMAN RESOURCES","Sunnyvale, CA",15,195000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Durham, NC",19,195000
OTHERS,"PRODUCT MANAGER","Menlo Park, CA",9.78448275862069,194672.41379310345
GOOGLE,"PRODUCT MANAGER","Zurich, ZH, Switzerland",8.5,194300
OTHERS,"HARDWARE ENGINEER","Framingham, MA",15,194000
OTHERS,"MANAGEMENT CONSULTANT","Pleasanton, CA",20,194000
OTHERS,"SOFTWARE ENGINEER","Parker, CO",22,194000
MICROSOFT,"PRODUCT MANAGER","Austin, TX",20,194000
OTHERS,"SOFTWARE ENGINEERING MANAGER","San Jose, CA",15.416666666666666,193750
MICROSOFT,"SOLUTION ARCHITECT","San Francisco, CA",16.285714285714285,193571.42857142858
GOOGLE,"SOFTWARE ENGINEERING MANAGER","London, EN, United Kingdom",12,193500
MICROSOFT,"SOFTWARE ENGINEERING MANAGER","Redmond, WA",16.098360655737704,193284.15300546447
OTHERS,"SOFTWARE ENGINEER","Nazareth Illit, HZ, Israel",30,193000
GOOGLE,"SOFTWARE ENGINEERING MANAGER","San Francisco, CA",9.88,192960
OTHERS,"SOFTWARE ENGINEERING MANAGER","Santa Barbara, CA",12,192666.66666666666
GOOGLE,"SOFTWARE ENGINEERING MANAGER","Zurich, ZH, Switzerland",14.125,191875
OTHERS,"HARDWARE ENGINEER","Foster City, CA",8.8,191600
GOOGLE,"BUSINESS ANALYST","Seattle, WA",8.5,191500
GOOGLE,"SOLUTION ARCHITECT","Sunnyvale, CA",12,191250
APPLE,"SOFTWARE ENGINEERING MANAGER","Cupertino, CA",12.981132075471699,191207.54716981133
MICROSOFT,"TECHNICAL PROGRAM MANAGER","Austin, TX",23,191000
OTHERS,"HUMAN RESOURCES","San Jose, CA",15,190363.63636363635
MICROSOFT,"SOLUTION ARCHITECT","Seattle, WA",17.333333333333332,190333.33333333334
OTHERS,"DATA SCIENTIST","Worcester, MA",5,190000
MICROSOFT,SALES,"San Francisco, CA",25,190000
ORACLE,"SOLUTION ARCHITECT","Pleasanton, CA",20,190000
OTHERS,"PRODUCT MANAGER","Berkeley Heights, NJ",10,190000
OTHERS,"MANAGEMENT CONSULTANT","Toledo, OH",9,190000
AMAZON,SALES,"San Francisco, CA",15,190000
APPLE,RECRUITER,"San Francisco, CA",15,190000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Everett, WA",10,190000
OTHERS,"MANAGEMENT CONSULTANT","Baltimore, MD",15,190000
GOOGLE,"PRODUCT DESIGNER","Santa Clara, CA",13,190000
GOOGLE,"MECHANICAL ENGINEER","Fremont, CA",10,190000
GOOGLE,"PRODUCT MANAGER","Portland, OR",25,190000
GOOGLE,"PRODUCT MANAGER","San Bruno, CA",9.5,189750
ORACLE,"PRODUCT MANAGER","Austin, TX",13.5,189500
ORACLE,"SOFTWARE ENGINEERING MANAGER","New York, NY",20,189500
OTHERS,"SOLUTION ARCHITECT","San Jose, CA",15.058823529411764,189470.58823529413
MICROSOFT,"SOLUTION ARCHITECT","Philadelphia, PA",19,189000
MICROSOFT,"PRODUCT DESIGNER","Portland, OR",14,189000
ORACLE,"PRODUCT MANAGER","Denver, CO",14.333333333333334,189000
MICROSOFT,"PRODUCT MANAGER","New York, NY",11,188666.66666666666
OTHERS,"PRODUCT MANAGER","Irvine, CA",15,188500
OTHERS,"HUMAN RESOURCES","Menlo Park, CA",10,188500
OTHERS,"SOLUTION ARCHITECT","Saint Paul, MN",25,188000
AMAZON,"SOFTWARE ENGINEERING MANAGER","Tel Aviv, TA, Israel",19,188000
GOOGLE,"SOLUTION ARCHITECT","Mountain View, CA",8,188000
MICROSOFT,"PRODUCT DESIGNER","Mountain View, CA",12,188000
OTHERS,"SOFTWARE ENGINEER","Gilroy, CA",11,188000
MICROSOFT,SALES,"Seattle, WA",17.666666666666668,187888.88888888888
MICROSOFT,"SOFTWARE ENGINEERING MANAGER","Bellevue, WA",12.692307692307692,187692.3076923077
ORACLE,MARKETING,"San Francisco, CA",11.5,187500
OTHERS,"SOFTWARE ENGINEERING MANAGER","Scottsdale, AZ",19.5,187500
GOOGLE,"PRODUCT MANAGER","Kirkland, WA",14.166666666666666,187500
MICROSOFT,"PRODUCT MANAGER","Dallas, TX",10,187000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Foster City, CA",16.75,186250
MICROSOFT,"TECHNICAL PROGRAM MANAGER","Washington, DC",15.75,186000
OTHERS,"HUMAN RESOURCES","Florham Park, NJ",15,186000
OTHERS,"SOFTWARE ENGINEER","Basel, BS, Switzerland",11,185500
OTHERS,MARKETING,"Santa Monica, CA",15,185500
OTHERS,"SOFTWARE ENGINEERING MANAGER","Needham, MA",11,185500
ORACLE,"SOFTWARE ENGINEERING MANAGER","Redwood City, CA",17.160714285714285,185464.2857142857
OTHERS,"DATA SCIENTIST","Mountain View, MO",6,185000
MICROSOFT,"MECHANICAL ENGINEER","Mountain View, CA",7.333333333333333,185000
MICROSOFT,MARKETING,"Fremont, CA",15,185000
MICROSOFT,"TECHNICAL PROGRAM MANAGER","Boone, NC",16,185000
MICROSOFT,"PRODUCT MANAGER","San Jose, CA",12,185000
OTHERS,"SOLUTION ARCHITECT","Burlington, MA",20,185000
OTHERS,"PRODUCT DESIGNER","Portland, OR",13.75,185000
AMAZON,"SOLUTION ARCHITECT","San Jose, CA",14,185000
AMAZON,"SOLUTION ARCHITECT","Vancouver, BC, Canada",15,185000
AMAZON,"PRODUCT MANAGER","Jersey City, NJ",13,185000
AMAZON,"SOLUTION ARCHITECT","New City, NY",15,185000
APPLE,"SOLUTION ARCHITECT","Sunnyvale, CA",14,185000
APPLE,"DATA SCIENTIST","Singapore, SG, Singapore",12,185000
APPLE,"HUMAN RESOURCES","Austin, TX",12,185000
APPLE,"HUMAN RESOURCES","Santa Clara, CA",10,185000
OTHERS,"TECHNICAL PROGRAM MANAGER","Secaucus, NJ",35,185000
OTHERS,"TECHNICAL PROGRAM MANAGER","Manhattan, NY",16,185000
OTHERS,"SOLUTION ARCHITECT","Zurich, ZH, Switzerland",17.833333333333332,184500
OTHERS,"DATA SCIENTIST","Basking Ridge, NJ",6.333333333333333,184333.33333333334
OTHERS,"TECHNICAL PROGRAM MANAGER","Menlo Park, CA",10.693877551020408,184163.26530612246
APPLE,"SOLUTION ARCHITECT","Cupertino, CA",8,184000
OTHERS,"MANAGEMENT CONSULTANT","Fairfax, VA",11.666666666666666,184000
OTHERS,"PRODUCT DESIGNER","Hillsboro, OR",24,184000
OTHERS,"TECHNICAL PROGRAM MANAGER","South San Francisco, CA",10.5,184000
OTHERS,"TECHNICAL PROGRAM MANAGER","Bellevue, WA",16.916666666666668,183500
OTHERS,"SOFTWARE ENGINEER","Princeton, NJ",6.818181818181818,183454.54545454544
OTHERS,"SOFTWARE ENGINEERING MANAGER","Milpitas, CA",14,183400
GOOGLE,"PRODUCT MANAGER","Cambridge, MA",13,183400
GOOGLE,"PRODUCT MANAGER","San Francisco, CA",8.851063829787234,183255.31914893616
OTHERS,"MECHANICAL ENGINEER","Menlo Park, CA",7.75,183250
MICROSOFT,SALES,"Singapore, SG, Singapore",16,183250
MICROSOFT,"PRODUCT MANAGER","Boulder, CO",16,183000
MICROSOFT,SALES,"Sunnyvale, CA",14,183000
ORACLE,"SOFTWARE ENGINEERING MANAGER","Pleasanton, CA",16,183000
